,2019-02-13,2019-02-14,2019-02-15
1 hr,132.31031666666667,133.03298333333336,134.9166166666666
1 min,132.27,133.055,135.55
1.5 hr,132.2495888888889,133.0150666666667,134.89759999999993
10 day,130.54800000000003,130.983,131.825
10 min,132.33739999999997,132.98340000000002,135.1953
100 day,127.99083499999999,128.04424299999997,128.11677899999998
125 day,125.93741360000001,126.10445440000001,126.28464720000001
15 min,132.33826666666664,132.96813333333336,135.1262
150 day,123.17500733333337,123.34821533333336,123.53087666666671
175 day,120.14795657142864,120.35355200000005,120.56815771428579
2 day,132.29500000000002,132.655,134.29000000000002
2 hr,132.149075,133.03463333333335,134.88999166666665
2.5 hr,132.06921333333344,133.0478066666667,134.87695999999997
20 day,131.36805499999997,131.38245999999998,131.50341
20 min,132.37694999999997,132.97310000000002,135.0924
200 day,117.38859200000012,117.57419700000011,117.76381350000013
25 min,132.44435999999996,132.99208000000002,135.03784
3 hr,132.0112222222223,133.04486111111115,134.8952555555555
3.5 hr,131.98278571428577,133.05009047619052,134.92911904761897
30 day,130.53189333333333,130.76699,131.1406333333333
30 min,132.45609999999996,133.0040666666667,135.0182
4 hr,131.97484583333338,133.0803458333334,134.97774583333324
4.5 hr,131.9818851851852,133.07490740740747,135.011148148148
40 day,129.5957275,129.63710500000002,129.77815000000004
45 min,132.3882888888889,133.01440000000005,134.95593333333332
5 day,131.204,131.53799999999998,132.89000000000001
5 hr,132.02169999999998,133.05371333333338,135.05933333333317
5 min,132.33139999999997,133.0248,135.5106
5.5 hr,132.0382424242424,133.02690909090916,135.02027878787868
50 day,129.42096000000004,129.49796200000003,129.60002200000002
50 min,132.36146000000002,133.01786000000004,134.93333999999996
55 min,132.3276181818182,133.0315090909091,134.91836363636358
6 hr,132.04845000000003,133.00745833333337,134.97010277777764
6.5 hr,132.07587692307695,132.96175897435901,134.9022666666665
60 day,129.02690500000003,129.12300166666668,129.24629833333336
70 day,128.97948285714284,129.07567857142854,129.18934428571427
80 day,128.4692825,128.54089499999998,128.65856624999998
90 day,128.0082011111111,128.11123333333333,128.2524411111111
Tomorrow,133.03,135.55,NULL
