,2018-12-11,2018-12-12,2018-12-19
1 hr,6.8747500000000015,6.979466666666666,6.264833333333333
1 min,6.87,6.97,6.25
1.5 hr,6.865000000000008,6.987755555555554,6.298044444444443
10 day,7.108,7.114,6.712000000000001
10 min,6.875,6.962300000000001,6.252000000000001
100 day,7.220699999999999,7.213399999999999,7.150599999999997
125 day,7.37856,7.367920000000001,7.29928
15 min,6.875333333333334,6.963533333333334,6.252000000000001
150 day,7.606799999999998,7.594266666666666,7.512733333333334
175 day,7.709257142857141,7.701085714285712,7.652057142857141
2 day,6.859999999999999,6.92,6.355
2 hr,6.845883333333335,6.998108333333326,6.317033333333332
2.5 hr,6.833539999999995,7.0155533333333295,6.337559999999992
20 day,6.9159999999999995,6.9300000000000015,6.878
20 min,6.873000000000002,6.968150000000001,6.252000000000001
200 day,7.827099999999998,7.819199999999999,7.764299999999999
25 min,6.871800000000003,6.9701200000000005,6.253600000000002
3 hr,6.832894444444428,7.021683333333322,6.3488000000000016
3.5 hr,6.833066666666642,7.0176333333333245,6.3561142857143
30 day,6.891,6.896000000000001,6.849666666666667
30 min,6.875166666666668,6.9686,6.254000000000002
4 hr,6.835141666666636,7.012441666666661,6.361450000000024
4.5 hr,6.839385185185156,7.005133333333334,6.365696296296328
40 day,6.852999999999999,6.8565,6.831500000000001
45 min,6.876555555555555,6.967511111111111,6.2586666666666675
5 day,6.892,6.88,6.544
5 hr,6.8442466666666455,6.999653333333337,6.369126666666704
5 min,6.876,6.965999999999999,6.252
5.5 hr,6.85043636363634,6.9931545454545425,6.3727818181818545
50 day,6.879399999999999,6.878399999999999,6.832000000000002
50 min,6.877499999999999,6.97116,6.259600000000001
55 min,6.876818181818181,6.974872727272727,6.261090909090909
6 hr,6.853863888888863,6.984891666666663,6.3745777777778105
6.5 hr,6.855925641025622,6.977489743589737,6.378784615384643
60 day,6.922833333333332,6.919,6.8676666666666675
70 day,7.002785714285714,6.990928571428571,6.9187142857142865
80 day,7.088687499999999,7.0814375,7.004187499999999
90 day,7.156055555555554,7.147388888888887,7.080944444444442
Tomorrow,6.97,6.86,6.14
