,2018-12-19,2019-01-17,2019-01-18,2019-02-04,2019-02-11,2019-02-13
1 hr,10.137716666666664,13.100850000000007,12.82213333333333,13.511133333333328,13.505133333333331,14.64955
1 min,10.17,13.11,12.91,13.6,13.55,14.73
1.5 hr,10.207922222222223,13.113044444444446,12.80588888888888,13.52805555555554,13.495200000000002,14.588533333333336
10 day,11.654999999999998,12.387,12.578,12.984,13.541,13.716999999999999
10 min,10.1885,13.0605,12.843,13.532000000000002,13.498,14.761
100 day,16.050299999999996,14.610899999999999,14.554199999999998,13.981000000000003,13.782499999999997,13.718199999999998
125 day,16.780879999999996,15.472239999999996,15.415359999999994,14.91776,14.710799999999995,14.631919999999994
15 min,10.181199999999999,13.061000000000002,12.843666666666667,13.518333333333336,13.493533333333335,14.757666666666665
150 day,16.966600000000003,16.14413333333333,16.106333333333332,15.722200000000003,15.525866666666664,15.444999999999997
175 day,17.098285714285712,16.38274285714286,16.356228571428574,16.067142857142866,15.957942857142859,15.911257142857144
2 day,10.559999999999999,13.254999999999999,13.01,13.54,13.71,13.98
2 hr,10.266108333333335,13.125916666666685,12.798741666666656,13.538441666666643,13.506108333333328,14.558066666666669
2.5 hr,10.338853333333343,13.142006666666687,12.79217999999999,13.541019999999973,13.53778666666666,14.544339999999998
20 day,12.4095,11.147499999999999,11.284499999999998,12.781000000000002,13.151499999999999,13.284499999999998
20 min,10.172149999999998,13.060599999999999,12.848500000000001,13.514000000000001,13.488900000000001,14.758000000000001
200 day,16.869175,16.49355,16.4837,16.305450000000004,16.21665,16.175850000000004
25 min,10.17032,13.070320000000002,12.846400000000001,13.510720000000001,13.488320000000002,14.740400000000001
3 hr,10.386683333333343,13.156572222222227,12.788622222222223,13.541077777777756,13.55562777777777,14.528133333333315
3.5 hr,10.429800000000007,13.170566666666677,12.793190476190484,13.538438095238083,13.579585714285706,14.531833333333326
30 day,12.208999999999998,11.401666666666669,11.408,11.851,12.520666666666667,12.776999999999996
30 min,10.158866666666666,13.086000000000002,12.843666666666666,13.508433333333334,13.483933333333335,14.708333333333337
4 hr,10.468170833333337,13.174750000000014,12.795691666666675,13.53024166666665,13.601637499999992,14.542729166666662
4.5 hr,10.5041962962963,13.179918518518528,12.792903703703717,13.521085185185164,13.595814814814812,14.562870370370367
40 day,12.882,11.823250000000002,11.847000000000001,11.802000000000003,11.98925,12.112749999999998
45 min,10.151177777777775,13.097911111111115,12.834955555555554,13.510511111111107,13.494288888888885,14.669177777777781
5 day,11.113999999999999,12.9,12.943999999999999,13.388,13.693999999999999,13.831999999999999
5 hr,10.541760000000002,13.180306666666675,12.800280000000008,13.508599999999978,13.602599999999995,14.565163333333333
5 min,10.187999999999999,13.087,12.842000000000002,13.556000000000001,13.494,14.765
5.5 hr,10.56693636363637,13.182812121212134,12.80570303030304,13.491218181818159,13.61589999999999,14.570363636363629
50 day,13.699600000000002,11.863600000000002,11.8392,12.074400000000004,12.1676,12.176999999999996
50 min,10.148459999999998,13.097320000000007,12.83046,13.510459999999997,13.50226,14.671160000000004
55 min,10.141872727272723,13.098654545454552,12.825509090909089,13.510327272727269,13.505690909090907,14.658509090909092
6 hr,10.60035833333334,13.179383333333345,12.816283333333342,13.487524999999982,13.642144444444433,14.592849999999999
6.5 hr,10.633356410256415,13.188571794871798,12.837164102564111,13.483615384615362,13.65051794871794,14.583933333333327
60 day,14.46166666666667,12.415666666666665,12.349499999999999,12.030000000000005,12.172333333333336,12.262333333333332
70 day,14.893857142857145,13.080857142857145,13.00957142857143,12.44014285714286,12.261714285714286,12.285714285714285
80 day,15.371625000000003,13.727125000000001,13.667374999999998,13.006375000000006,12.813374999999999,12.724749999999997
90 day,15.720555555555555,14.147888888888888,14.091777777777775,13.59144444444445,13.337444444444444,13.226444444444441
Tomorrow,10.07,12.91,12.72,13.63,13.21,13.92
