,2019-01-22,2019-02-05
1 hr,51.20803333333334,52.68991666666669
1 min,51.15,52.66
1.5 hr,51.20185555555556,52.678088888888915
10 day,49.877,49.903
10 min,51.190999999999995,52.5192
100 day,60.550499999999985,57.106899999999996
125 day,63.98035999999998,61.72087999999998
15 min,51.21106666666666,52.528800000000004
150 day,66.91536666666664,64.89656666666662
175 day,67.5516857142857,66.72334285714281
2 day,52.245000000000005,52.04
2 hr,51.224975,52.65633333333336
2.5 hr,51.281953333333334,52.546266666666696
20 day,45.758500000000005,49.89
20 min,51.257799999999996,52.538650000000004
200 day,65.82847499999998,65.67262499999997
25 min,51.23428,52.540920000000014
3 hr,51.28148333333333,52.43175000000003
3.5 hr,51.35411904761906,52.35425714285717
30 day,45.65066666666667,47.13999999999999
30 min,51.238899999999994,52.56143333333335
4 hr,51.38093750000002,52.25720416666671
4.5 hr,51.40642592592594,52.2024666666667
40 day,47.57950000000001,46.71375
45 min,51.24137777777777,52.64622222222223
5 day,51.89000000000001,50.559999999999995
5 hr,51.40562666666668,52.16927000000004
5 min,51.223,52.525999999999996
5.5 hr,51.39833636363639,52.13290909090912
50 day,48.32680000000001,48.04420000000001
50 min,51.226839999999996,52.66190000000002
55 min,51.21512727272728,52.67654545454547
6 hr,51.3979305555556,52.1617138888889
6.5 hr,51.4458102564103,52.209425641025646
60 day,49.00200000000002,48.58950000000001
70 day,51.19685714285715,49.13071428571429
80 day,54.41350000000001,51.035125
90 day,57.90733333333334,53.91233333333333
Tomorrow,49.22,52.46
