,2018-12-12
1 hr,17.049283333333328
1 min,17.05
1.5 hr,17.069266666666667
10 day,16.083000000000002
10 min,17.086
100 day,13.766500000000006
125 day,13.08752000000001
15 min,17.104999999999997
150 day,12.052666666666674
175 day,11.179028571428578
2 day,16.485
2 hr,17.124424999999995
2.5 hr,17.202840000000002
20 day,15.365000000000004
20 min,17.167499999999997
200 day,10.569150000000006
25 min,17.17844
3 hr,17.307633333333342
3.5 hr,17.389633333333343
30 day,14.791666666666668
30 min,17.173199999999998
4 hr,17.45334583333334
4.5 hr,17.528062962962956
40 day,15.199000000000002
45 min,17.100799999999996
5 day,16.656000000000002
5 hr,17.57698
5 min,17.052
5.5 hr,17.56783939393939
50 day,15.310800000000002
50 min,17.081539999999997
55 min,17.064309090909084
6 hr,17.533791666666666
6.5 hr,17.51418205128205
60 day,15.475333333333337
70 day,15.047428571428574
80 day,14.547125000000003
90 day,14.109666666666671
Tomorrow,16.48
