,2019-01-07,2019-01-23,2019-02-08
1 hr,62.689750000000004,70.36523333333334,64.57665
1 min,62.92,70.56,65.02
1.5 hr,62.57305555555556,70.33096666666667,64.70351111111113
10 day,56.71900000000001,71.192,74.062
10 min,62.913,70.53099999999999,64.595
100 day,67.19350000000003,66.7535,66.33220000000001
125 day,67.89800000000002,68.01360000000001,68.24024
15 min,62.85733333333334,70.50666666666667,64.55966666666667
150 day,67.63173333333336,68.0202666666667,68.59493333333334
175 day,65.92257142857146,66.9887428571429,68.17382857142859
2 day,61.230000000000004,70.64,69.38499999999999
2 hr,62.60586666666667,70.24476666666668,64.79355833333335
2.5 hr,62.672700000000006,70.12466000000002,64.81151999999999
20 day,57.8095,64.69649999999999,72.797
20 min,62.812250000000006,70.49600000000001,64.56775000000002
200 day,64.04340000000003,65.09330000000003,66.48495000000001
25 min,62.78540000000001,70.48780000000001,64.569
3 hr,62.67106666666668,69.97992222222226,64.80516111111112
3.5 hr,62.643814285714285,69.85675714285718,64.82390476190476
30 day,58.72333333333333,62.51166666666666,68.96399999999998
30 min,62.7685,70.46533333333333,64.5788
4 hr,62.63103333333332,69.7140166666667,64.90451249999998
4.5 hr,62.619544444444436,69.6558666666667,65.13598518518516
40 day,58.230999999999995,62.090250000000005,65.954
45 min,62.76717777777779,70.43184444444445,64.58164444444442
5 day,58.596000000000004,71.55600000000001,73.316
5 hr,62.60130666666665,69.67837333333333,65.27323666666665
5 min,62.98,70.524,64.729
5.5 hr,62.578236363636364,69.72722121212121,65.29324242424241
50 day,58.1738,60.94879999999999,65.04319999999998
50 min,62.76020000000001,70.41046,64.58413999999998
55 min,62.732636363636374,70.38387272727273,64.57925454545453
6 hr,62.540016666666645,69.84555833333334,65.2108111111111
6.5 hr,62.44853333333332,69.93408717948721,65.20608717948718
60 day,60.5435,60.40283333333333,63.55366666666666
70 day,63.1877142857143,62.00285714285714,62.68457142857142
80 day,65.02687500000002,64.027875,63.51187500000001
90 day,66.34755555555557,65.60266666666666,65.01400000000001
Tomorrow,67.23,71.04,66.53
