,2019-01-16,2019-01-17,2019-02-05
1 hr,7.557083333333334,7.628583333333329,7.28648333333333
1 min,7.48,7.57,7.27
1.5 hr,7.583855555555556,7.633011111111106,7.2848777777777665
10 day,6.8100000000000005,6.996,7.265000000000001
10 min,7.4815,7.567500000000001,7.293499999999999
100 day,8.01085,7.986549999999999,7.664849999999999
125 day,8.51032,8.493599999999999,8.12516
15 min,7.497333333333334,7.581666666666667,7.297333333333333
150 day,8.4048,8.4048,8.407933333333336
175 day,8.243714285714287,8.244285714285715,8.257257142857144
2 day,7.255000000000001,7.52,7.295
2 hr,7.600558333333328,7.628008333333332,7.279449999999988
2.5 hr,7.629539999999997,7.6152733333333265,7.277386666666654
20 day,6.190500000000002,6.277500000000002,7.26
20 min,7.5120000000000005,7.589450000000001,7.2965
200 day,8.120775,8.127125,8.143950000000002
25 min,7.518400000000001,7.60516,7.297400000000001
3 hr,7.646572222222221,7.606838888888875,7.274433333333321
3.5 hr,7.659190476190478,7.604042857142838,7.280838095238078
30 day,6.242333333333335,6.2616666666666685,6.741999999999999
30 min,7.5245000000000015,7.6186333333333325,7.300833333333335
4 hr,7.663270833333341,7.604129166666648,7.293045833333319
4.5 hr,7.665737037037048,7.599518518518496,7.299033333333314
40 day,6.363750000000001,6.379500000000001,6.577249999999998
45 min,7.541666666666667,7.625666666666665,7.290000000000002
5 day,7.072000000000001,7.194,7.142
5 hr,7.659253333333344,7.594629999999988,7.301646666666651
5 min,7.471000000000001,7.565,7.289999999999999
5.5 hr,7.645481818181828,7.591003030303022,7.30290909090908
50 day,6.6496,6.6187999999999985,6.5993999999999975
50 min,7.5449,7.626499999999997,7.28788
55 min,7.551181818181818,7.627727272727269,7.287072727272725
6 hr,7.636236111111121,7.589822222222216,7.30372222222222
6.5 hr,7.607928205128215,7.588443589743586,7.313692307692307
60 day,6.93925,6.906916666666666,6.6759999999999975
70 day,7.242071428571429,7.214642857142857,6.935571428571426
80 day,7.541812500000002,7.514562500000001,7.189062499999997
90 day,7.784055555555556,7.7589444444444435,7.448388888888887
Tomorrow,7.56,7.8,7.31
