,2018-12-20,2018-12-21,2019-01-28
1 hr,3.4423666666666666,3.1940000000000017,3.091716666666667
1 min,3.4,3.22,3.1
1.5 hr,3.4391333333333334,3.2072111111111132,3.093022222222221
10 day,4.020999999999999,3.9,3.378
10 min,3.4190000000000005,3.2344999999999997,3.1052999999999997
100 day,6.675154,6.630453999999999,5.477703999999999
125 day,6.865083199999999,6.8314832,6.078203199999998
15 min,3.4206666666666674,3.2323333333333335,3.1062
150 day,6.7351693333333325,6.723235999999999,6.336902666666664
175 day,6.39665942857143,6.39145942857143,6.284373714285713
2 day,3.42,3.315,3.195
2 hr,3.4239166666666656,3.220466666666666,3.0876749999999973
2.5 hr,3.4233266666666666,3.231039999999998,3.0870599999999957
20 day,4.513,4.416500000000001,3.571
20 min,3.4275000000000007,3.2275,3.1058499999999998
200 day,6.001777000000001,6.0002770000000005,6.041127
25 min,3.4306,3.218400000000001,3.1056800000000004
3 hr,3.4327666666666694,3.2340277777777766,3.0876555555555543
3.5 hr,3.4413857142857176,3.2354047619047615,3.0898619047619045
30 day,4.767333333333334,4.680000000000001,3.576333333333333
30 min,3.431,3.211833333333334,3.1059333333333337
4 hr,3.443387500000006,3.238541666666665,3.0971249999999984
4.5 hr,3.4468555555555613,3.2455333333333276,3.1044814814814776
40 day,4.846000000000001,4.80025,3.86875
45 min,3.4390000000000005,3.1924444444444458,3.0980444444444446
5 day,3.6839999999999997,3.5200000000000005,3.3419999999999996
5 hr,3.4529033333333383,3.252763333333329,3.110459999999994
5 min,3.4200000000000004,3.229,3.1035999999999997
5.5 hr,3.4589424242424283,3.2589999999999972,3.1176121212121153
50 day,5.0565,4.9959,4.111999999999999
50 min,3.4406400000000006,3.1904000000000012,3.096000000000001
55 min,3.4420363636363644,3.1920000000000015,3.0932727272727276
6 hr,3.4613138888888937,3.259308333333332,3.123613888888886
6.5 hr,3.459094871794877,3.259815384615383,3.1283179487179473
60 day,5.36675,5.29775,4.303166666666666
70 day,5.827434285714285,5.747005714285714,4.478285714285714
80 day,6.2755675,6.1980675000000005,4.7315625
90 day,6.539615555555557,6.486393333333335,5.086893333333332
Tomorrow,3.23,3.35,3.06
