,2019-01-31,2019-02-15
1 hr,29.96619999999999,31.819866666666663
1 min,29.83,31.88
1.5 hr,30.006088888888875,31.849988888888877
10 day,29.137999999999998,30.551
10 min,29.840999999999998,31.826
100 day,27.907650000000018,28.198750000000008
125 day,27.850840000000023,28.15236000000001
15 min,29.840666666666667,31.826999999999998
150 day,27.445900000000012,27.78063333333334
175 day,27.154885714285722,27.50511428571428
2 day,29.905,31.61
2 hr,30.065499999999997,31.872766666666642
2.5 hr,30.098140000000004,31.88942666666664
20 day,28.700500000000005,29.889
20 min,29.85425,31.8315
200 day,26.416400000000003,27.00535
25 min,29.880360000000007,31.833400000000005
3 hr,30.11300000000001,31.881861111111085
3.5 hr,30.116285714285723,31.879295238095203
30 day,27.905333333333335,29.403999999999993
30 min,29.898966666666674,31.829500000000003
4 hr,30.118729166666675,31.872079166666637
4.5 hr,30.109148148148158,31.86195555555554
40 day,27.74875,28.626749999999994
45 min,29.9296,31.812399999999993
5 day,29.526,31.152000000000005
5 hr,30.08722000000001,31.850116666666647
5 min,29.85,31.841999999999995
5.5 hr,30.056066666666702,31.842427272727264
50 day,27.893000000000008,28.334599999999995
50 min,29.941840000000003,31.810559999999995
55 min,29.95494545454545,31.81578181818182
6 hr,30.0302166666667,31.82442777777777
6.5 hr,30.00089230769234,31.793010256410245
60 day,27.993333333333343,28.33216666666667
70 day,27.894571428571435,28.381000000000004
80 day,27.855937500000017,28.249000000000002
90 day,27.922944444444465,28.169611111111116
Tomorrow,29.31,NULL
